	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
89	1.14	2.95	7.60	7.40	1.69	4.79	-0.00
90	4.99	6.11	11.44	10.97	5.30	8.04	-0.00
91	8.63	9.12	15.09	14.48	8.66	11.17	-0.00
92	12.02	11.98	18.51	17.92	11.71	14.20	-0.00
93	15.10	14.67	21.60	21.20	14.40	17.14	-0.00
94	17.81	17.15	24.29	24.19	16.71	19.95	-0.00
95	20.10	19.37	26.47	26.69	18.58	22.53	-0.00
96	21.89	21.27	28.06	28.54	19.97	24.72	-0.00
97	23.10	22.79	28.99	29.57	20.84	26.34	-0.00
98	23.65	23.83	29.21	29.70	21.12	27.23	-0.00
99	23.50	24.35	28.70	28.93	20.78	27.26	-0.00
100	22.62	24.32	27.51	27.36	19.84	26.38	-0.00
101	21.10	23.71	25.73	25.15	18.35	24.64	-0.00
