	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
50	3.62	2.35	4.08	3.06	3.63	1.68
51	3.29	1.97	3.61	2.65	3.22	1.68
52	2.90	1.53	3.07	2.18	2.76	1.68
53	2.47	1.02	2.48	1.63	2.25	1.68
54	1.97	0.43	1.83	1.03	1.68	1.68
55	1.41	-0.24	1.13	0.36	1.06	1.68
56	0.79	-1.01	0.38	-0.36	0.39	1.68
57	0.10	-1.86	-0.40	-1.11	-0.33	1.68
58	-0.64	-2.78	-1.20	-1.88	-1.09	1.68
59	-1.41	-3.73	-2.00	-2.63	-1.86	1.68
60	-2.19	-4.64	-2.77	-3.33	-2.63	1.68
61	-2.93	-5.46	-3.46	-3.93	-3.36	1.68
62	-3.60	-6.10	-4.05	-4.41	-4.00	1.68
63	-4.16	-6.51	-4.50	-4.74	-4.51	1.68
64	-4.56	-6.66	-4.78	-4.89	-4.88	1.68
65	-4.79	-6.55	-4.89	-4.88	-5.08	1.68
66	-4.84	-6.19	-4.83	-4.72	-5.11	1.68
67	-4.72	-5.64	-4.61	-4.42	-4.99	1.68
68	-4.45	-4.94	-4.27	-4.03	-4.74	1.68
69	-4.05	-4.15	-3.81	-3.56	-4.37	1.68
70	-3.55	-3.33	-3.29	-3.03	-3.92	1.68
71	-3.00	-2.52	-2.71	-2.48	-3.41	1.68
72	-2.41	-1.74	-2.11	-1.92	-2.88	1.68
73	-1.82	-1.04	-1.50	-1.35	-2.33	1.68
74	-1.24	-0.42	-0.90	-0.81	-1.79	1.68
75	-0.69	0.11	-0.33	-0.28	-1.27	1.68
76	-0.18	0.55	0.20	0.22	-0.78	1.68
77	0.27	0.90	0.68	0.68	-0.33	1.68
78	0.67	1.19	1.11	1.11	0.08	1.68
79	1.01	1.41	1.49	1.49	0.44	1.68
80	1.27	1.59	1.82	1.82	0.74	1.68
81	1.48	1.72	2.09	2.11	0.99	1.68
82	1.62	1.82	2.32	2.35	1.18	1.68
83	1.70	1.87	2.49	2.55	1.32	1.68
84	1.74	1.89	2.62	2.70	1.42	1.68
85	1.76	1.86	2.70	2.82	1.47	1.68
86	1.75	1.81	2.74	2.92	1.49	1.68
87	1.74	1.74	2.75	2.99	1.50	1.68
88	1.75	1.68	2.72	3.06	1.49	1.68
89	1.79	1.65	2.68	3.12	1.50	1.68
90	1.86	1.66	2.63	3.17	1.52	1.68
91	1.97	1.75	2.58	3.22	1.57	1.68
92	2.12	1.91	2.55	3.28	1.66	1.68
93	2.31	2.13	2.53	3.33	1.78	1.68
94	2.51	2.40	2.55	3.39	1.94	1.68
95	2.72	2.68	2.58	3.45	2.12	1.68
96	2.92	2.95	2.64	3.52	2.31	1.68
97	3.12	3.20	2.71	3.60	2.52	1.68
98	3.29	3.42	2.80	3.70	2.72	1.68
99	3.44	3.61	2.91	3.83	2.92	1.68
100	3.58	3.80	3.03	4.01	3.12	1.68
101	3.70	3.98	3.16	4.24	3.31	1.68
