	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
28	14.65	14.76	15.24	13.01	11.50	16.39
29	14.72	14.90	15.45	13.02	11.40	16.39
30	14.80	15.01	15.63	13.02	11.35	16.39
31	14.89	15.10	15.77	12.99	11.34	16.39
32	14.96	15.17	15.89	12.95	11.36	16.39
33	15.00	15.20	15.96	12.91	11.41	16.39
34	15.02	15.20	16.01	12.86	11.48	16.39
35	15.00	15.15	16.03	12.81	11.56	16.39
36	14.94	15.07	16.00	12.78	11.66	16.39
37	14.86	14.95	15.94	12.75	11.76	16.39
38	14.76	14.82	15.84	12.73	11.87	16.39
39	14.63	14.70	15.72	12.71	11.98	16.39
40	14.49	14.60	15.57	12.68	12.09	16.39
41	14.35	14.52	15.40	12.64	12.17	16.39
42	14.21	14.48	15.23	12.58	12.22	16.39
43	14.08	14.48	15.06	12.52	12.24	16.39
44	13.95	14.51	14.91	12.45	12.23	16.39
45	13.82	14.57	14.79	12.38	12.20	16.39
46	13.70	14.66	14.70	12.34	12.15	16.39
47	13.58	14.77	14.65	12.34	12.09	16.39
48	13.47	14.91	14.65	12.38	12.05	16.39
49	13.37	15.07	14.69	12.48	12.03	16.39
50	13.30	15.28	14.79	12.65	12.07	16.39
51	13.27	15.53	14.95	12.88	12.16	16.39
52	13.28	15.84	15.17	13.18	12.34	16.39
53	13.37	16.21	15.46	13.55	12.61	16.39
54	13.54	16.63	15.81	13.98	12.95	16.39
55	13.80	17.09	16.20	14.45	13.36	16.39
56	14.16	17.55	16.60	14.94	13.81	16.39
57	14.59	17.97	16.96	15.40	14.24	16.39
58	15.04	18.28	17.24	15.76	14.61	16.39
59	15.45	18.42	17.39	15.98	14.84	16.39
60	15.75	18.32	17.37	16.00	14.89	16.39
61	15.87	17.98	17.15	15.80	14.71	16.39
62	15.76	17.41	16.74	15.38	14.33	16.39
63	15.41	16.64	16.15	14.79	13.78	16.39
64	14.84	15.75	15.44	14.09	13.15	16.39
65	14.11	14.83	14.67	13.36	12.51	16.39
66	13.30	13.95	13.90	12.67	11.94	16.39
67	12.49	13.17	13.18	12.08	11.49	16.39
68	11.76	12.54	12.56	11.62	11.18	16.39
69	11.17	12.06	12.07	11.30	11.02	16.39
70	10.73	11.73	11.70	11.10	10.97	16.39
71	10.44	11.52	11.44	11.00	10.99	16.39
72	10.30	11.38	11.26	10.95	11.03	16.39
73	10.26	11.29	11.11	10.91	11.04	16.39
74	10.29	11.21	10.97	10.84	10.99	16.39
75	10.33	11.13	10.80	10.72	10.86	16.39
76	10.35	11.00	10.61	10.53	10.65	16.39
77	10.31	10.84	10.40	10.27	10.36	16.39
78	10.20	10.63	10.17	9.96	10.00	16.39
79	10.01	10.37	9.92	9.63	9.60	16.39
80	9.75	10.08	9.67	9.31	9.18	16.39
81	9.47	9.79	9.42	9.02	8.78	16.39
82	9.19	9.53	9.18	8.79	8.41	16.39
83	8.94	9.32	8.96	8.64	8.11	16.39
84	8.75	9.19	8.79	8.58	7.90	16.39
85	8.64	9.15	8.70	8.59	7.80	16.39
86	8.64	9.22	8.71	8.68	7.82	16.39
87	8.76	9.39	8.83	8.84	7.99	16.39
88	9.01	9.67	9.06	9.06	8.30	16.39
89	9.38	10.01	9.39	9.33	8.73	16.39
90	9.85	10.38	9.76	9.62	9.24	16.39
91	10.37	10.71	10.13	9.94	9.81	16.39
92	10.88	10.97	10.45	10.25	10.37	16.39
93	11.37	11.15	10.68	10.58	10.90	16.39
94	11.79	11.28	10.80	10.92	11.36	16.39
95	12.17	11.40	10.84	11.27	11.75	16.39
96	12.50	11.51	10.84	11.63	12.07	16.39
97	12.78	11.62	10.82	11.98	12.31	16.39
98	13.01	11.70	10.82	12.29	12.46	16.39
99	13.18	11.69	10.86	12.55	12.53	16.39
100	13.25	11.54	10.91	12.71	12.52	16.38
101	13.20	11.23	10.96	12.73	12.42	16.38
