	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
52	1.23	0.79	2.06	1.72	1.21	1.90	-0.44
53	1.43	1.09	2.63	2.21	1.33	2.26	-0.44
54	1.72	1.51	3.32	2.88	1.55	2.77	-0.45
55	2.12	2.07	4.10	3.75	1.90	3.43	-0.45
56	2.64	2.77	4.93	4.78	2.38	4.21	-0.45
57	3.28	3.56	5.73	5.90	2.96	5.07	-0.45
58	4.02	4.38	6.38	6.98	3.59	5.90	-0.45
59	4.81	5.14	6.82	7.89	4.19	6.57	-0.45
60	5.54	5.73	6.96	8.49	4.67	6.96	-0.45
61	6.13	6.06	6.78	8.70	4.94	7.00	-0.45
62	6.47	6.07	6.30	8.49	4.93	6.65	-0.45
63	6.51	5.76	5.57	7.89	4.64	5.93	-0.45
64	6.23	5.15	4.66	6.99	4.08	4.92	-0.45
65	5.65	4.32	3.66	5.88	3.33	3.73	-0.45
66	4.85	3.35	2.64	4.68	2.46	2.47	-0.45
67	3.88	2.32	1.67	3.50	1.55	1.25	-0.45
68	2.84	1.32	0.81	2.41	0.68	0.17	-0.45
69	1.80	0.42	0.08	1.42	-0.08	-0.69	-0.45
70	0.83	-0.34	-0.51	0.54	-0.70	-1.30	-0.45
71	-0.02	-0.95	-0.97	-0.25	-1.17	-1.65	-0.45
72	-0.71	-1.41	-1.33	-0.93	-1.48	-1.78	-0.45
73	-1.24	-1.75	-1.60	-1.47	-1.67	-1.74	-0.45
74	-1.62	-1.99	-1.83	-1.88	-1.77	-1.61	-0.45
75	-1.86	-2.19	-2.05	-2.19	-1.81	-1.45	-0.45
76	-2.02	-2.36	-2.26	-2.42	-1.84	-1.32	-0.45
77	-2.12	-2.54	-2.50	-2.61	-1.87	-1.27	-0.45
78	-2.21	-2.72	-2.77	-2.80	-1.95	-1.31	-0.45
79	-2.33	-2.93	-3.07	-3.02	-2.08	-1.46	-0.45
80	-2.50	-3.15	-3.40	-3.26	-2.27	-1.71	-0.45
81	-2.74	-3.38	-3.74	-3.51	-2.53	-2.05	-0.45
82	-3.05	-3.62	-4.07	-3.76	-2.85	-2.45	-0.45
83	-3.40	-3.83	-4.35	-3.98	-3.20	-2.87	-0.46
84	-3.75	-4.02	-4.55	-4.15	-3.56	-3.26	-0.46
85	-4.05	-4.14	-4.62	-4.25	-3.88	-3.54	-0.46
86	-4.26	-4.19	-4.54	-4.26	-4.13	-3.68	-0.46
87	-4.32	-4.14	-4.30	-4.18	-4.27	-3.66	-0.46
88	-4.20	-3.99	-3.93	-4.00	-4.26	-3.47	-0.46
89	-3.92	-3.78	-3.46	-3.76	-4.08	-3.15	-0.46
90	-3.50	-3.54	-2.96	-3.46	-3.77	-2.75	-0.46
91	-3.00	-3.30	-2.49	-3.12	-3.35	-2.33	-0.46
92	-2.48	-3.11	-2.10	-2.77	-2.89	-1.98	-0.46
93	-2.01	-2.97	-1.79	-2.42	-2.45	-1.75	-0.46
94	-1.61	-2.91	-1.57	-2.05	-2.09	-1.64	-0.46
95	-1.30	-2.88	-1.39	-1.69	-1.82	-1.64	-0.46
96	-1.08	-2.88	-1.22	-1.33	-1.65	-1.70	-0.46
97	-0.94	-2.86	-1.04	-0.99	-1.57	-1.76	-0.46
98	-0.88	-2.81	-0.84	-0.71	-1.55	-1.78	-0.46
99	-0.89	-2.70	-0.63	-0.52	-1.57	-1.76	-0.46
100	-0.96	-2.54	-0.46	-0.50	-1.63	-1.73	-0.46
101	-1.11	-2.37	-0.37	-0.66	-1.73	-1.74	-0.46
