	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
59	0.37	-0.51	-0.34	-2.14	2.80	2.94	2.57
60	0.22	-0.62	-0.41	-2.12	2.80	2.94	2.57
61	0.07	-0.73	-0.54	-2.12	2.78	2.88	2.57
62	-0.08	-0.85	-0.72	-2.15	2.74	2.73	2.57
63	-0.23	-0.98	-0.93	-2.21	2.69	2.53	2.57
64	-0.38	-1.13	-1.13	-2.29	2.65	2.29	2.57
65	-0.52	-1.27	-1.30	-2.35	2.61	2.05	2.57
66	-0.64	-1.38	-1.42	-2.40	2.60	1.85	2.57
67	-0.71	-1.44	-1.45	-2.39	2.61	1.70	2.57
68	-0.74	-1.43	-1.38	-2.33	2.65	1.63	2.57
69	-0.70	-1.34	-1.21	-2.21	2.74	1.66	2.57
70	-0.59	-1.16	-0.95	-2.02	2.86	1.77	2.57
71	-0.39	-0.91	-0.60	-1.76	3.03	1.97	2.57
72	-0.13	-0.59	-0.19	-1.47	3.22	2.23	2.57
73	0.20	-0.23	0.27	-1.14	3.43	2.52	2.57
74	0.57	0.14	0.75	-0.80	3.66	2.81	2.57
75	0.96	0.51	1.24	-0.47	3.88	3.08	2.57
76	1.36	0.86	1.72	-0.15	4.08	3.31	2.57
77	1.73	1.19	2.16	0.14	4.26	3.48	2.57
78	2.06	1.47	2.57	0.39	4.41	3.59	2.57
79	2.35	1.72	2.94	0.62	4.52	3.64	2.57
80	2.58	1.92	3.26	0.81	4.61	3.63	2.57
81	2.76	2.09	3.52	0.98	4.66	3.59	2.57
82	2.89	2.23	3.74	1.12	4.68	3.53	2.57
83	2.97	2.34	3.92	1.25	4.69	3.47	2.57
84	3.01	2.44	4.04	1.36	4.68	3.42	2.57
85	3.03	2.52	4.13	1.46	4.67	3.40	2.57
86	3.04	2.61	4.19	1.55	4.66	3.42	2.57
87	3.04	2.70	4.21	1.66	4.64	3.50	2.57
88	3.07	2.82	4.22	1.78	4.64	3.63	2.57
89	3.11	2.96	4.23	1.93	4.64	3.83	2.57
90	3.18	3.14	4.23	2.10	4.66	4.07	2.57
91	3.27	3.34	4.23	2.30	4.69	4.36	2.57
92	3.37	3.57	4.24	2.52	4.75	4.68	2.57
93	3.48	3.82	4.26	2.74	4.82	5.02	2.57
94	3.59	4.07	4.28	2.95	4.91	5.36	2.57
95	3.67	4.31	4.30	3.13	5.01	5.68	2.57
96	3.73	4.52	4.29	3.26	5.11	5.98	2.57
97	3.75	4.69	4.27	3.33	5.20	6.22	2.57
98	3.72	4.83	4.21	3.35	5.27	6.41	2.57
99	3.65	4.92	4.11	3.31	5.31	6.52	2.57
100	3.55	4.98	3.98	3.23	5.32	6.54	2.57
101	3.41	5.01	3.83	3.12	5.28	6.48	2.57
