	Gait LB - IOR 1.c3d	Gait LB - IOR 1.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 2.c3d	Gait LB - IOR 3.c3d	Gait LB - IOR 4.c3d	Static.c3d
60	5.77	1.40	-5.64	-5.55	2.04	-0.57	5.59
61	2.46	-1.76	-8.43	-8.60	-1.07	-4.01	5.59
62	-0.94	-4.65	-10.71	-11.26	-4.07	-7.24	5.59
63	-4.22	-7.07	-12.34	-13.34	-6.77	-10.06	5.59
64	-7.14	-8.84	-13.25	-14.73	-9.00	-12.33	5.59
65	-9.50	-9.86	-13.44	-15.35	-10.63	-13.92	5.59
66	-11.13	-10.12	-12.99	-15.20	-11.61	-14.79	5.59
67	-11.92	-9.68	-12.00	-14.33	-11.92	-14.91	5.59
68	-11.87	-8.67	-10.63	-12.88	-11.61	-14.37	5.59
69	-11.07	-7.27	-9.01	-11.03	-10.79	-13.28	5.59
70	-9.71	-5.64	-7.29	-8.98	-9.57	-11.81	5.59
71	-7.98	-3.93	-5.56	-6.88	-8.10	-10.10	5.59
72	-6.10	-2.25	-3.90	-4.86	-6.48	-8.27	5.59
73	-4.23	-0.64	-2.35	-2.98	-4.83	-6.39	5.59
74	-2.49	0.87	-0.93	-1.27	-3.20	-4.52	5.59
75	-0.91	2.27	0.36	0.28	-1.64	-2.69	5.59
76	0.49	3.57	1.51	1.65	-0.17	-0.91	5.59
77	1.71	4.78	2.54	2.87	1.19	0.76	5.59
78	2.79	5.87	3.44	3.93	2.43	2.29	5.59
79	3.73	6.84	4.22	4.87	3.53	3.65	5.59
80	4.55	7.68	4.88	5.68	4.48	4.81	5.59
81	5.27	8.37	5.43	6.38	5.27	5.74	5.59
82	5.88	8.90	5.88	6.95	5.92	6.46	5.59
83	6.41	9.28	6.22	7.37	6.44	6.96	5.59
84	6.83	9.50	6.46	7.61	6.84	7.24	5.59
85	7.14	9.57	6.60	7.67	7.14	7.30	5.59
86	7.32	9.50	6.66	7.52	7.34	7.13	5.59
87	7.36	9.28	6.64	7.18	7.44	6.74	5.59
88	7.25	8.93	6.56	6.69	7.43	6.14	5.59
89	6.97	8.47	6.44	6.12	7.28	5.37	5.59
90	6.54	7.93	6.31	5.56	6.99	4.54	5.59
91	5.99	7.39	6.19	5.11	6.58	3.76	5.59
92	5.37	6.88	6.11	4.85	6.09	3.16	5.59
93	4.76	6.47	6.09	4.81	5.58	2.81	5.59
94	4.22	6.19	6.12	4.96	5.12	2.77	5.59
95	3.83	6.04	6.20	5.26	4.74	3.00	5.59
96	3.58	6.02	6.30	5.61	4.48	3.41	5.59
97	3.46	6.10	6.37	5.91	4.29	3.85	5.59
98	3.39	6.24	6.36	6.08	4.12	4.20	5.59
99	3.27	6.36	6.21	6.03	3.88	4.29	5.59
100	3.00	6.40	5.87	5.72	3.52	4.02	5.59
101	2.53	6.29	5.32	5.13	2.98	3.34	5.59
