	Gait LB - IOR 5.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Gait LB - IOR 8.c3d	Static.c3d
74	1.91	0.71	0.50	1.55	0.71	2.84
75	2.44	0.86	0.79	1.84	1.02	2.84
76	3.02	1.06	1.16	2.20	1.41	2.84
77	3.64	1.33	1.61	2.63	1.85	2.84
78	4.25	1.65	2.12	3.11	2.30	2.84
79	4.81	2.03	2.66	3.62	2.76	2.84
80	5.30	2.44	3.20	4.12	3.18	2.84
81	5.70	2.87	3.72	4.58	3.55	2.84
82	5.99	3.30	4.17	4.97	3.85	2.84
83	6.16	3.71	4.53	5.28	4.08	2.84
84	6.23	4.07	4.80	5.48	4.25	2.84
85	6.19	4.38	4.98	5.58	4.35	2.84
86	6.04	4.61	5.06	5.58	4.40	2.84
87	5.80	4.75	5.06	5.49	4.41	2.84
88	5.47	4.81	4.98	5.32	4.39	2.84
89	5.09	4.76	4.82	5.10	4.32	2.84
90	4.68	4.62	4.59	4.83	4.21	2.84
91	4.28	4.41	4.31	4.55	4.06	2.84
92	3.93	4.14	4.00	4.28	3.87	2.84
93	3.65	3.84	3.69	4.03	3.67	2.84
94	3.43	3.54	3.42	3.82	3.48	2.84
95	3.29	3.28	3.21	3.66	3.32	2.84
96	3.21	3.08	3.07	3.55	3.20	2.84
97	3.16	2.95	2.99	3.48	3.11	2.84
98	3.15	2.88	2.97	3.45	3.06	2.84
99	3.15	2.86	2.98	3.45	3.02	2.84
100	3.17	2.86	3.00	3.45	2.98	2.84
101	3.20	2.87	3.04	3.45	2.93	2.84
