	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Gait LB - IOR 7.c3d	Gait LB - IOR 8.c3d	Static.c3d
50	4.91	2.74	2.71	2.95	3.34	1.95
51	4.44	2.32	2.34	2.50	2.99	1.95
52	3.90	1.83	1.89	1.96	2.57	1.95
53	3.29	1.28	1.37	1.36	2.10	1.95
54	2.61	0.66	0.79	0.70	1.55	1.95
55	1.86	-0.04	0.15	-0.01	0.94	1.95
56	1.04	-0.81	-0.52	-0.75	0.26	1.95
57	0.19	-1.63	-1.23	-1.50	-0.48	1.95
58	-0.69	-2.47	-1.96	-2.24	-1.25	1.95
59	-1.54	-3.30	-2.68	-2.92	-2.04	1.95
60	-2.32	-4.06	-3.37	-3.52	-2.80	1.95
61	-2.98	-4.68	-3.99	-3.99	-3.48	1.95
62	-3.47	-5.13	-4.50	-4.32	-4.03	1.95
63	-3.76	-5.36	-4.86	-4.47	-4.41	1.95
64	-3.84	-5.37	-5.06	-4.44	-4.60	1.95
65	-3.70	-5.15	-5.08	-4.24	-4.58	1.95
66	-3.38	-4.75	-4.91	-3.90	-4.37	1.95
67	-2.91	-4.21	-4.57	-3.44	-3.98	1.95
68	-2.32	-3.57	-4.09	-2.90	-3.46	1.95
69	-1.67	-2.87	-3.48	-2.31	-2.83	1.95
70	-0.99	-2.16	-2.80	-1.71	-2.16	1.95
71	-0.31	-1.47	-2.07	-1.13	-1.46	1.95
72	0.34	-0.83	-1.34	-0.57	-0.77	1.95
73	0.94	-0.25	-0.62	-0.07	-0.11	1.95
74	1.48	0.25	0.06	0.38	0.49	1.95
75	1.95	0.66	0.68	0.77	1.03	1.95
76	2.33	0.98	1.23	1.09	1.50	1.95
77	2.63	1.21	1.71	1.35	1.89	1.95
78	2.85	1.37	2.11	1.55	2.20	1.95
79	3.00	1.45	2.42	1.70	2.45	1.95
80	3.07	1.48	2.66	1.81	2.63	1.95
81	3.08	1.48	2.82	1.88	2.76	1.95
82	3.05	1.46	2.92	1.93	2.84	1.95
83	2.98	1.44	2.97	1.96	2.90	1.95
84	2.89	1.42	2.99	1.97	2.94	1.95
85	2.79	1.42	2.99	1.99	2.97	1.95
86	2.70	1.44	2.99	2.02	3.00	1.95
87	2.62	1.49	3.01	2.05	3.04	1.95
88	2.57	1.55	3.05	2.10	3.08	1.95
89	2.54	1.63	3.12	2.16	3.14	1.95
90	2.54	1.73	3.21	2.22	3.21	1.95
91	2.55	1.84	3.31	2.29	3.29	1.95
92	2.56	1.95	3.40	2.34	3.36	1.95
93	2.59	2.06	3.48	2.36	3.44	1.95
94	2.60	2.18	3.55	2.36	3.50	1.95
95	2.62	2.30	3.59	2.34	3.57	1.95
96	2.62	2.43	3.61	2.30	3.64	1.95
97	2.63	2.56	3.62	2.25	3.73	1.95
98	2.64	2.70	3.63	2.22	3.84	1.95
99	2.67	2.85	3.64	2.21	3.98	1.95
100	2.74	3.02	3.67	2.24	4.14	1.95
101	2.84	3.23	3.72	2.34	4.34	1.95
