	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
20	0.37	0.99	1.42	0.88	-0.73	1.28	-0.19	-0.48	1.46	0.04	1.15	1.56	-0.40	-1.10
21	0.15	0.75	1.15	0.58	-0.98	1.07	-0.39	-0.63	1.31	-0.12	0.96	1.37	-0.50	-1.10
22	-0.09	0.49	0.86	0.29	-1.22	0.86	-0.61	-0.77	1.18	-0.29	0.78	1.16	-0.62	-1.10
23	-0.33	0.20	0.54	0.01	-1.46	0.63	-0.85	-0.91	1.05	-0.50	0.62	0.93	-0.77	-1.10
24	-0.59	-0.10	0.19	-0.26	-1.70	0.39	-1.10	-1.06	0.91	-0.73	0.46	0.68	-0.94	-1.10
25	-0.85	-0.42	-0.17	-0.54	-1.94	0.15	-1.36	-1.22	0.76	-0.98	0.30	0.43	-1.12	-1.10
26	-1.10	-0.74	-0.54	-0.81	-2.16	-0.09	-1.62	-1.37	0.60	-1.24	0.13	0.17	-1.28	-1.10
27	-1.34	-1.06	-0.88	-1.08	-2.37	-0.34	-1.89	-1.54	0.43	-1.52	-0.04	-0.08	-1.45	-1.10
28	-1.56	-1.35	-1.21	-1.34	-2.54	-0.58	-2.15	-1.70	0.24	-1.80	-0.22	-0.33	-1.62	-1.10
29	-1.76	-1.63	-1.49	-1.59	-2.68	-0.83	-2.39	-1.86	0.03	-2.07	-0.41	-0.56	-1.79	-1.10
30	-1.94	-1.86	-1.74	-1.81	-2.80	-1.06	-2.61	-2.02	-0.20	-2.34	-0.59	-0.77	-1.96	-1.10
31	-2.11	-2.06	-1.93	-2.00	-2.90	-1.29	-2.80	-2.17	-0.46	-2.58	-0.75	-0.95	-2.13	-1.10
32	-2.25	-2.22	-2.08	-2.15	-2.98	-1.48	-2.94	-2.29	-0.73	-2.78	-0.88	-1.08	-2.28	-1.10
33	-2.35	-2.34	-2.18	-2.25	-3.05	-1.64	-3.01	-2.38	-1.00	-2.93	-0.98	-1.16	-2.39	-1.10
34	-2.42	-2.43	-2.22	-2.31	-3.10	-1.75	-3.00	-2.41	-1.26	-3.01	-1.02	-1.18	-2.44	-1.10
35	-2.43	-2.49	-2.21	-2.32	-3.12	-1.80	-2.91	-2.35	-1.49	-3.00	-1.00	-1.15	-2.43	-1.10
36	-2.39	-2.50	-2.14	-2.27	-3.11	-1.79	-2.74	-2.21	-1.68	-2.90	-0.91	-1.05	-2.35	-1.10
37	-2.29	-2.47	-2.01	-2.17	-3.06	-1.72	-2.49	-1.99	-1.82	-2.71	-0.75	-0.90	-2.20	-1.10
38	-2.14	-2.38	-1.83	-2.02	-2.96	-1.61	-2.20	-1.69	-1.91	-2.45	-0.51	-0.70	-2.00	-1.10
39	-1.95	-2.23	-1.61	-1.82	-2.81	-1.46	-1.89	-1.34	-1.93	-2.13	-0.21	-0.49	-1.76	-1.10
40	-1.72	-2.03	-1.36	-1.59	-2.61	-1.30	-1.57	-0.97	-1.91	-1.77	0.15	-0.28	-1.50	-1.10
41	-1.49	-1.80	-1.10	-1.33	-2.40	-1.15	-1.27	-0.59	-1.85	-1.41	0.54	-0.09	-1.25	-1.10
42	-1.26	-1.57	-0.85	-1.07	-2.17	-1.02	-1.01	-0.23	-1.75	-1.07	0.93	0.07	-1.02	-1.10
43	-1.06	-1.37	-0.63	-0.84	-1.97	-0.93	-0.79	0.09	-1.64	-0.79	1.27	0.17	-0.84	-1.10
44	-0.90	-1.23	-0.47	-0.67	-1.81	-0.91	-0.66	0.34	-1.53	-0.59	1.52	0.20	-0.72	-1.10
45	-0.82	-1.17	-0.37	-0.57	-1.72	-0.96	-0.61	0.51	-1.44	-0.48	1.64	0.13	-0.67	-1.10
46	-0.81	-1.18	-0.35	-0.57	-1.69	-1.09	-0.64	0.58	-1.39	-0.46	1.62	-0.03	-0.71	-1.10
47	-0.88	-1.27	-0.39	-0.65	-1.72	-1.28	-0.77	0.55	-1.38	-0.52	1.44	-0.28	-0.82	-1.10
48	-1.02	-1.42	-0.50	-0.80	-1.82	-1.51	-0.96	0.44	-1.43	-0.63	1.14	-0.59	-0.98	-1.10
49	-1.22	-1.61	-0.65	-1.00	-1.95	-1.77	-1.19	0.27	-1.54	-0.78	0.74	-0.93	-1.18	-1.10
50	-1.44	-1.81	-0.82	-1.23	-2.13	-2.05	-1.44	0.05	-1.69	-0.94	0.28	-1.27	-1.42	-1.10
51	-1.72	-2.02	-1.03	-1.51	-2.35	-2.37	-1.69	-0.22	-1.89	-1.09	-0.21	-1.61	-1.69	-1.10
52	-2.07	-2.24	-1.30	-1.85	-2.66	-2.74	-1.94	-0.57	-2.14	-1.27	-0.74	-1.97	-2.04	-1.10
53	-2.54	-2.53	-1.67	-2.28	-3.09	-3.21	-2.23	-1.05	-2.47	-1.50	-1.33	-2.40	-2.51	-1.10
54	-3.17	-2.92	-2.20	-2.85	-3.67	-3.80	-2.60	-1.70	-2.93	-1.86	-1.99	-2.96	-3.16	-1.10
55	-3.97	-3.46	-2.91	-3.59	-4.43	-4.54	-3.10	-2.57	-3.55	-2.42	-2.78	-3.70	-4.01	-1.10
56	-4.88	-4.18	-3.82	-4.50	-5.34	-5.41	-3.77	-3.62	-4.35	-3.20	-3.69	-4.63	-5.04	-1.10
57	-5.83	-5.04	-4.89	-5.52	-6.34	-6.34	-4.61	-4.80	-5.30	-4.21	-4.70	-5.70	-6.17	-1.10
58	-6.70	-5.97	-6.02	-6.59	-7.35	-7.27	-5.58	-5.97	-6.33	-5.37	-5.75	-6.81	-7.26	-1.10
59	-7.41	-6.87	-7.12	-7.59	-8.25	-8.12	-6.61	-7.01	-7.33	-6.55	-6.76	-7.84	-8.18	-1.10
60	-7.89	-7.64	-8.08	-8.41	-8.96	-8.79	-7.58	-7.84	-8.20	-7.61	-7.63	-8.66	-8.81	-1.10
61	-8.12	-8.18	-8.83	-8.97	-9.43	-9.26	-8.41	-8.39	-8.83	-8.42	-8.29	-9.22	-9.12	-1.10
62	-8.14	-8.48	-9.31	-9.26	-9.65	-9.51	-9.01	-8.68	-9.20	-8.94	-8.70	-9.51	-9.14	-1.10
63	-8.01	-8.54	-9.55	-9.29	-9.64	-9.58	-9.36	-8.75	-9.31	-9.18	-8.88	-9.57	-8.96	-1.10
64	-7.79	-8.41	-9.59	-9.14	-9.48	-9.51	-9.48	-8.68	-9.22	-9.19	-8.89	-9.48	-8.66	-1.10
65	-7.55	-8.16	-9.49	-8.86	-9.22	-9.35	-9.41	-8.53	-9.03	-9.07	-8.78	-9.29	-8.31	-1.10
66	-7.30	-7.85	-9.32	-8.54	-8.91	-9.12	-9.21	-8.35	-8.79	-8.89	-8.62	-9.04	-7.98	-1.10
67	-7.04	-7.52	-9.10	-8.20	-8.58	-8.86	-8.96	-8.15	-8.54	-8.69	-8.43	-8.78	-7.66	-1.10
68	-6.77	-7.19	-8.86	-7.87	-8.24	-8.55	-8.67	-7.96	-8.30	-8.50	-8.24	-8.52	-7.37	-1.10
69	-6.48	-6.87	-8.60	-7.53	-7.89	-8.22	-8.39	-7.75	-8.06	-8.28	-8.04	-8.26	-7.08	-1.10
70	-6.16	-6.54	-8.31	-7.19	-7.53	-7.86	-8.10	-7.53	-7.81	-8.05	-7.82	-8.00	-6.79	-1.10
71	-5.82	-6.20	-7.98	-6.82	-7.16	-7.48	-7.81	-7.31	-7.55	-7.76	-7.57	-7.73	-6.49	-1.10
72	-5.45	-5.84	-7.62	-6.44	-6.79	-7.07	-7.50	-7.07	-7.26	-7.43	-7.30	-7.44	-6.19	-1.10
73	-5.07	-5.48	-7.24	-6.03	-6.42	-6.65	-7.16	-6.84	-6.94	-7.06	-7.00	-7.16	-5.88	-1.10
74	-4.69	-5.10	-6.84	-5.61	-6.05	-6.22	-6.79	-6.60	-6.60	-6.66	-6.69	-6.88	-5.57	-1.10
75	-4.31	-4.71	-6.42	-5.19	-5.69	-5.78	-6.39	-6.35	-6.24	-6.24	-6.36	-6.60	-5.26	-1.10
76	-3.94	-4.34	-6.01	-4.77	-5.34	-5.36	-5.97	-6.10	-5.88	-5.81	-6.03	-6.35	-4.95	-1.10
77	-3.60	-3.97	-5.60	-4.37	-5.02	-4.94	-5.55	-5.83	-5.50	-5.37	-5.71	-6.11	-4.64	-1.10
78	-3.29	-3.63	-5.21	-4.01	-4.73	-4.55	-5.14	-5.56	-5.14	-4.93	-5.43	-5.88	-4.35	-1.10
79	-3.02	-3.30	-4.84	-3.68	-4.49	-4.19	-4.74	-5.27	-4.78	-4.51	-5.19	-5.67	-4.06	-1.10
80	-2.78	-3.01	-4.50	-3.39	-4.30	-3.87	-4.38	-4.99	-4.45	-4.10	-4.99	-5.48	-3.81	-1.10
81	-2.59	-2.75	-4.21	-3.14	-4.17	-3.59	-4.05	-4.71	-4.16	-3.72	-4.81	-5.32	-3.59	-1.10
82	-2.45	-2.53	-3.98	-2.93	-4.10	-3.37	-3.77	-4.45	-3.91	-3.39	-4.65	-5.19	-3.41	-1.10
83	-2.37	-2.35	-3.82	-2.75	-4.10	-3.21	-3.54	-4.22	-3.72	-3.12	-4.49	-5.12	-3.29	-1.10
84	-2.35	-2.20	-3.77	-2.59	-4.16	-3.12	-3.37	-4.05	-3.60	-2.90	-4.33	-5.09	-3.23	-1.10
85	-2.38	-2.11	-3.82	-2.48	-4.28	-3.11	-3.26	-3.95	-3.55	-2.75	-4.17	-5.13	-3.25	-1.10
86	-2.48	-2.06	-3.97	-2.42	-4.45	-3.19	-3.21	-3.95	-3.57	-2.67	-4.02	-5.22	-3.34	-1.10
87	-2.62	-2.07	-4.19	-2.42	-4.65	-3.34	-3.25	-4.03	-3.66	-2.66	-3.90	-5.36	-3.50	-1.10
88	-2.82	-2.13	-4.42	-2.48	-4.87	-3.56	-3.35	-4.18	-3.80	-2.71	-3.83	-5.54	-3.72	-1.10
89	-3.05	-2.25	-4.66	-2.59	-5.10	-3.83	-3.51	-4.38	-4.00	-2.84	-3.81	-5.75	-3.99	-1.10
90	-3.29	-2.42	-4.87	-2.75	-5.32	-4.13	-3.73	-4.58	-4.21	-3.01	-3.87	-5.96	-4.27	-1.10
91	-3.53	-2.64	-5.06	-2.95	-5.53	-4.44	-3.98	-4.77	-4.44	-3.21	-3.98	-6.15	-4.54	-1.10
92	-3.72	-2.90	-5.22	-3.19	-5.71	-4.74	-4.26	-4.92	-4.65	-3.41	-4.16	-6.27	-4.78	-1.10
93	-3.86	-3.18	-5.35	-3.45	-5.85	-5.00	-4.56	-5.04	-4.84	-3.59	-4.38	-6.30	-4.94	-1.10
94	-3.91	-3.44	-5.43	-3.70	-5.94	-5.20	-4.84	-5.11	-4.98	-3.72	-4.62	-6.21	-5.02	-1.10
95	-3.87	-3.66	-5.47	-3.92	-5.99	-5.33	-5.10	-5.12	-5.06	-3.80	-4.83	-6.02	-5.02	-1.10
96	-3.76	-3.80	-5.46	-4.10	-6.00	-5.39	-5.29	-5.07	-5.06	-3.81	-4.98	-5.74	-4.95	-1.10
97	-3.60	-3.87	-5.40	-4.20	-5.99	-5.36	-5.39	-4.99	-5.00	-3.76	-5.06	-5.41	-4.86	-1.10
98	-3.43	-3.85	-5.30	-4.24	-5.97	-5.25	-5.42	-4.88	-4.92	-3.69	-5.06	-5.08	-4.79	-1.10
99	-3.27	-3.78	-5.17	-4.20	-5.95	-5.10	-5.37	-4.78	-4.83	-3.62	-4.99	-4.78	-4.76	-1.10
100	-3.14	-3.67	-5.01	-4.11	-5.93	-4.92	-5.26	-4.68	-4.77	-3.56	-4.87	-4.54	-4.77	-1.10
101	-3.04	-3.54	-4.81	-3.94	-5.87	-4.73	-5.12	-4.57	-4.74	-3.50	-4.71	-4.36	-4.80	-1.10
