	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
79	1.65	1.45	1.67	2.78	1.72	2.67	1.90	2.51	0.48	0.66	1.93	1.10
80	1.89	1.70	1.88	2.88	1.80	2.85	2.05	2.72	0.66	0.85	2.10	1.10
81	2.09	1.91	2.06	2.97	1.82	2.97	2.20	2.89	0.81	1.01	2.26	1.10
82	2.24	2.06	2.19	3.04	1.81	3.02	2.31	2.99	0.93	1.12	2.37	1.10
83	2.36	2.17	2.28	3.10	1.75	2.98	2.39	3.01	1.01	1.18	2.44	1.10
84	2.45	2.22	2.32	3.12	1.63	2.86	2.41	2.95	1.02	1.18	2.44	1.10
85	2.50	2.22	2.31	3.11	1.47	2.66	2.34	2.80	0.97	1.12	2.37	1.10
86	2.50	2.15	2.24	3.06	1.26	2.39	2.20	2.56	0.84	1.01	2.24	1.10
87	2.45	2.03	2.12	2.97	1.00	2.09	1.97	2.27	0.63	0.84	2.05	1.10
88	2.33	1.85	1.95	2.82	0.70	1.77	1.68	1.92	0.36	0.65	1.82	1.10
89	2.16	1.63	1.74	2.63	0.37	1.45	1.35	1.57	0.01	0.44	1.57	1.10
90	1.94	1.38	1.50	2.41	0.02	1.16	0.98	1.22	-0.37	0.23	1.31	1.10
91	1.70	1.12	1.23	2.18	-0.35	0.91	0.62	0.92	-0.77	0.05	1.07	1.10
92	1.48	0.86	0.98	1.97	-0.69	0.73	0.26	0.68	-1.14	-0.10	0.88	1.10
93	1.30	0.64	0.77	1.81	-0.98	0.62	-0.05	0.53	-1.44	-0.18	0.74	1.10
94	1.19	0.47	0.62	1.72	-1.19	0.61	-0.31	0.46	-1.62	-0.20	0.68	1.10
95	1.16	0.37	0.56	1.69	-1.31	0.69	-0.48	0.48	-1.64	-0.12	0.69	1.10
96	1.23	0.35	0.59	1.73	-1.34	0.84	-0.57	0.57	-1.52	0.05	0.78	1.10
97	1.36	0.39	0.70	1.82	-1.29	1.06	-0.56	0.70	-1.25	0.30	0.93	1.10
98	1.54	0.50	0.86	1.96	-1.17	1.30	-0.48	0.85	-0.87	0.61	1.12	1.10
99	1.75	0.64	1.08	2.14	-1.00	1.55	-0.32	1.00	-0.43	0.94	1.34	1.10
100	1.96	0.82	1.33	2.38	-0.77	1.80	-0.12	1.16	0.07	1.28	1.60	1.10
101	2.18	1.03	1.62	2.70	-0.47	2.07	0.12	1.35	0.59	1.61	1.92	1.10
