	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
21	2.40	8.28	7.99	9.94	7.50	8.90	9.56	5.63	2.90	8.81	7.63	10.75	12.20	-1.56
22	2.63	8.26	8.19	10.20	7.59	8.87	9.35	5.59	3.22	8.77	7.87	10.85	12.34	-1.56
23	2.73	8.12	8.31	10.34	7.59	8.73	9.03	5.42	3.44	8.58	8.00	10.81	12.36	-1.56
24	2.69	7.89	8.36	10.36	7.49	8.47	8.64	5.16	3.53	8.24	8.05	10.65	12.26	-1.56
25	2.54	7.58	8.35	10.28	7.31	8.12	8.17	4.80	3.51	7.77	8.01	10.40	12.07	-1.56
26	2.30	7.20	8.28	10.10	7.08	7.69	7.65	4.35	3.40	7.20	7.90	10.08	11.81	-1.56
27	2.01	6.76	8.16	9.84	6.80	7.20	7.09	3.82	3.20	6.56	7.73	9.72	11.50	-1.56
28	1.68	6.28	8.00	9.54	6.51	6.68	6.49	3.22	2.96	5.88	7.50	9.32	11.17	-1.56
29	1.34	5.78	7.81	9.19	6.22	6.13	5.86	2.58	2.69	5.16	7.23	8.92	10.83	-1.56
30	1.00	5.27	7.59	8.82	5.91	5.57	5.21	1.90	2.41	4.44	6.93	8.51	10.48	-1.56
31	0.67	4.77	7.34	8.43	5.59	5.02	4.54	1.18	2.14	3.70	6.60	8.10	10.13	-1.56
32	0.35	4.26	7.07	8.03	5.25	4.46	3.86	0.46	1.87	2.95	6.24	7.68	9.78	-1.56
33	0.03	3.74	6.78	7.60	4.89	3.89	3.17	-0.27	1.60	2.18	5.84	7.26	9.43	-1.56
34	-0.27	3.20	6.46	7.16	4.51	3.32	2.48	-0.97	1.33	1.40	5.39	6.82	9.05	-1.56
35	-0.56	2.64	6.13	6.69	4.11	2.72	1.80	-1.65	1.04	0.61	4.90	6.36	8.65	-1.56
36	-0.85	2.06	5.76	6.20	3.69	2.10	1.12	-2.31	0.74	-0.18	4.36	5.89	8.20	-1.56
37	-1.14	1.47	5.37	5.69	3.26	1.46	0.45	-2.93	0.42	-0.97	3.78	5.42	7.70	-1.56
38	-1.45	0.88	4.94	5.17	2.82	0.82	-0.22	-3.54	0.07	-1.75	3.17	4.96	7.14	-1.56
39	-1.79	0.31	4.48	4.64	2.36	0.17	-0.90	-4.13	-0.30	-2.50	2.55	4.51	6.54	-1.56
40	-2.14	-0.25	3.98	4.10	1.88	-0.46	-1.58	-4.69	-0.69	-3.23	1.95	4.06	5.90	-1.56
41	-2.52	-0.80	3.46	3.55	1.39	-1.08	-2.25	-5.22	-1.09	-3.93	1.38	3.61	5.23	-1.56
42	-2.91	-1.34	2.92	2.97	0.86	-1.67	-2.93	-5.70	-1.50	-4.57	0.84	3.15	4.54	-1.56
43	-3.31	-1.88	2.38	2.35	0.30	-2.23	-3.60	-6.12	-1.93	-5.17	0.31	2.68	3.85	-1.56
44	-3.70	-2.40	1.83	1.70	-0.31	-2.76	-4.25	-6.47	-2.35	-5.70	-0.21	2.20	3.18	-1.56
45	-4.08	-2.91	1.30	1.02	-0.93	-3.24	-4.89	-6.77	-2.78	-6.17	-0.76	1.69	2.54	-1.56
46	-4.45	-3.39	0.79	0.33	-1.54	-3.69	-5.49	-7.06	-3.21	-6.59	-1.36	1.15	1.92	-1.56
47	-4.82	-3.84	0.29	-0.37	-2.13	-4.11	-6.07	-7.37	-3.62	-6.97	-2.03	0.56	1.28	-1.56
48	-5.21	-4.29	-0.18	-1.06	-2.68	-4.53	-6.63	-7.73	-4.02	-7.35	-2.79	-0.09	0.58	-1.56
49	-5.65	-4.74	-0.65	-1.77	-3.20	-4.97	-7.19	-8.17	-4.41	-7.76	-3.65	-0.82	-0.23	-1.56
50	-6.15	-5.25	-1.15	-2.53	-3.69	-5.47	-7.78	-8.68	-4.81	-8.25	-4.60	-1.66	-1.18	-1.56
51	-6.72	-5.82	-1.69	-3.33	-4.16	-6.04	-8.43	-9.25	-5.24	-8.85	-5.61	-2.59	-2.26	-1.56
52	-7.31	-6.46	-2.31	-4.17	-4.62	-6.67	-9.14	-9.84	-5.70	-9.55	-6.64	-3.57	-3.41	-1.56
53	-7.89	-7.16	-2.99	-5.01	-5.06	-7.33	-9.88	-10.40	-6.19	-10.32	-7.61	-4.53	-4.54	-1.56
54	-8.40	-7.87	-3.72	-5.80	-5.46	-7.97	-10.62	-10.87	-6.69	-11.09	-8.44	-5.39	-5.55	-1.57
55	-8.78	-8.51	-4.45	-6.46	-5.79	-8.53	-11.28	-11.19	-7.14	-11.78	-9.05	-6.06	-6.36	-1.57
56	-9.01	-9.02	-5.11	-6.97	-6.04	-8.97	-11.81	-11.33	-7.51	-12.32	-9.43	-6.52	-6.91	-1.57
57	-9.08	-9.38	-5.65	-7.31	-6.20	-9.28	-12.14	-11.26	-7.75	-12.67	-9.57	-6.77	-7.22	-1.57
58	-9.06	-9.58	-6.04	-7.49	-6.29	-9.49	-12.27	-11.00	-7.86	-12.82	-9.52	-6.85	-7.35	-1.57
59	-9.00	-9.65	-6.28	-7.57	-6.36	-9.64	-12.23	-10.59	-7.86	-12.80	-9.35	-6.83	-7.37	-1.57
60	-8.98	-9.65	-6.40	-7.59	-6.46	-9.76	-12.05	-10.11	-7.79	-12.65	-9.12	-6.79	-7.38	-1.57
61	-9.04	-9.64	-6.47	-7.62	-6.62	-9.92	-11.81	-9.63	-7.72	-12.47	-8.89	-6.79	-7.46	-1.57
62	-9.23	-9.67	-6.53	-7.69	-6.86	-10.13	-11.58	-9.25	-7.70	-12.32	-8.72	-6.87	-7.65	-1.57
63	-9.54	-9.79	-6.65	-7.82	-7.19	-10.42	-11.42	-9.00	-7.78	-12.28	-8.64	-7.05	-7.97	-1.57
64	-9.94	-9.99	-6.85	-8.03	-7.58	-10.78	-11.37	-8.91	-7.97	-12.38	-8.65	-7.34	-8.40	-1.57
65	-10.39	-10.27	-7.16	-8.30	-7.98	-11.18	-11.42	-8.95	-8.27	-12.62	-8.77	-7.72	-8.90	-1.57
66	-10.84	-10.62	-7.54	-8.62	-8.36	-11.59	-11.58	-9.08	-8.66	-12.99	-8.95	-8.17	-9.44	-1.57
67	-11.26	-10.98	-7.98	-8.94	-8.69	-11.98	-11.81	-9.25	-9.10	-13.44	-9.17	-8.68	-10.00	-1.57
68	-11.59	-11.35	-8.44	-9.24	-8.95	-12.32	-12.06	-9.41	-9.55	-13.93	-9.40	-9.20	-10.54	-1.57
69	-11.81	-11.68	-8.87	-9.48	-9.12	-12.58	-12.30	-9.53	-9.97	-14.40	-9.59	-9.69	-11.05	-1.57
70	-11.91	-11.95	-9.26	-9.63	-9.21	-12.73	-12.48	-9.57	-10.32	-14.79	-9.72	-10.09	-11.47	-1.57
71	-11.89	-12.15	-9.58	-9.67	-9.20	-12.77	-12.57	-9.50	-10.58	-15.06	-9.76	-10.36	-11.78	-1.57
72	-11.75	-12.26	-9.79	-9.59	-9.10	-12.69	-12.54	-9.33	-10.70	-15.18	-9.70	-10.48	-11.94	-1.57
73	-11.50	-12.27	-9.91	-9.39	-8.92	-12.49	-12.39	-9.04	-10.69	-15.14	-9.52	-10.47	-11.96	-1.57
74	-11.17	-12.19	-9.94	-9.10	-8.66	-12.20	-12.12	-8.65	-10.55	-14.96	-9.23	-10.32	-11.84	-1.57
75	-10.77	-12.03	-9.87	-8.72	-8.36	-11.82	-11.77	-8.17	-10.30	-14.67	-8.84	-10.08	-11.61	-1.57
76	-10.34	-11.81	-9.73	-8.31	-8.03	-11.39	-11.34	-7.63	-9.97	-14.29	-8.38	-9.76	-11.31	-1.57
77	-9.88	-11.55	-9.54	-7.88	-7.69	-10.92	-10.87	-7.05	-9.59	-13.87	-7.89	-9.39	-10.97	-1.57
78	-9.43	-11.26	-9.30	-7.46	-7.37	-10.43	-10.37	-6.47	-9.20	-13.44	-7.39	-8.98	-10.62	-1.57
79	-8.99	-10.96	-9.05	-7.06	-7.07	-9.93	-9.88	-5.90	-8.81	-13.02	-6.92	-8.54	-10.28	-1.57
80	-8.56	-10.67	-8.79	-6.71	-6.81	-9.43	-9.41	-5.38	-8.44	-12.62	-6.50	-8.09	-9.96	-1.57
81	-8.17	-10.38	-8.54	-6.38	-6.59	-8.94	-8.98	-4.91	-8.10	-12.27	-6.12	-7.61	-9.66	-1.57
82	-7.80	-10.12	-8.32	-6.08	-6.39	-8.47	-8.58	-4.48	-7.80	-11.95	-5.75	-7.13	-9.35	-1.57
83	-7.45	-9.87	-8.15	-5.78	-6.23	-8.03	-8.19	-4.08	-7.52	-11.65	-5.39	-6.63	-9.03	-1.57
84	-7.11	-9.64	-8.04	-5.48	-6.08	-7.60	-7.82	-3.71	-7.24	-11.33	-5.00	-6.11	-8.70	-1.57
85	-6.77	-9.41	-8.00	-5.17	-5.95	-7.19	-7.44	-3.36	-6.96	-10.98	-4.56	-5.59	-8.37	-1.57
86	-6.43	-9.18	-8.00	-4.85	-5.81	-6.80	-7.05	-3.05	-6.67	-10.61	-4.06	-5.08	-8.05	-1.57
87	-6.08	-8.94	-8.00	-4.52	-5.67	-6.42	-6.66	-2.75	-6.35	-10.22	-3.52	-4.57	-7.74	-1.57
88	-5.71	-8.69	-7.96	-4.17	-5.53	-6.05	-6.27	-2.47	-6.01	-9.82	-2.95	-4.09	-7.42	-1.57
89	-5.32	-8.42	-7.84	-3.81	-5.38	-5.69	-5.88	-2.18	-5.65	-9.43	-2.38	-3.63	-7.10	-1.57
90	-4.91	-8.15	-7.66	-3.43	-5.23	-5.32	-5.49	-1.87	-5.27	-9.07	-1.82	-3.21	-6.75	-1.57
91	-4.48	-7.86	-7.41	-3.04	-5.07	-4.94	-5.10	-1.53	-4.86	-8.71	-1.32	-2.80	-6.37	-1.57
92	-4.02	-7.56	-7.10	-2.65	-4.88	-4.54	-4.71	-1.18	-4.43	-8.37	-0.86	-2.37	-5.96	-1.57
93	-3.55	-7.24	-6.73	-2.26	-4.67	-4.12	-4.33	-0.82	-3.96	-8.02	-0.47	-1.93	-5.50	-1.57
94	-3.07	-6.89	-6.30	-1.88	-4.43	-3.65	-3.96	-0.46	-3.46	-7.65	-0.11	-1.45	-5.03	-1.57
95	-2.58	-6.50	-5.82	-1.51	-4.16	-3.14	-3.58	-0.09	-2.90	-7.26	0.24	-0.94	-4.54	-1.57
96	-2.10	-6.06	-5.29	-1.13	-3.85	-2.57	-3.19	0.29	-2.28	-6.84	0.61	-0.40	-4.05	-1.57
97	-1.60	-5.57	-4.70	-0.73	-3.52	-1.94	-2.78	0.70	-1.60	-6.39	1.02	0.17	-3.55	-1.57
98	-1.06	-5.05	-4.07	-0.31	-3.18	-1.25	-2.36	1.14	-0.88	-5.89	1.48	0.80	-3.03	-1.57
99	-0.47	-4.48	-3.40	0.14	-2.83	-0.50	-1.91	1.63	-0.13	-5.33	1.99	1.49	-2.44	-1.57
100	0.20	-3.88	-2.71	0.61	-2.46	0.29	-1.45	2.17	0.65	-4.69	2.57	2.28	-1.75	-1.57
101	0.94	-3.24	-2.02	1.11	-2.07	1.12	-0.96	2.78	1.46	-3.96	3.22	3.15	-0.96	-1.57
