	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
31	-0.59	-0.45	-0.18	-0.59	-0.14	-0.61	-0.47	-0.21	-0.16	0.05	0.18	-0.66
32	-0.59	-0.47	-0.19	-0.61	-0.10	-0.60	-0.49	-0.20	-0.20	0.05	0.23	-0.66
33	-0.59	-0.48	-0.18	-0.62	-0.05	-0.57	-0.50	-0.18	-0.23	0.05	0.29	-0.66
34	-0.57	-0.48	-0.16	-0.61	-0.00	-0.54	-0.50	-0.17	-0.24	0.04	0.34	-0.66
35	-0.55	-0.48	-0.14	-0.59	0.04	-0.50	-0.49	-0.16	-0.25	0.04	0.39	-0.66
36	-0.53	-0.48	-0.12	-0.57	0.06	-0.45	-0.48	-0.15	-0.25	0.02	0.41	-0.66
37	-0.51	-0.48	-0.11	-0.55	0.08	-0.41	-0.47	-0.14	-0.24	0.01	0.42	-0.66
38	-0.49	-0.48	-0.11	-0.54	0.07	-0.38	-0.46	-0.14	-0.24	-0.02	0.40	-0.66
39	-0.47	-0.49	-0.11	-0.54	0.05	-0.35	-0.45	-0.13	-0.24	-0.04	0.38	-0.66
40	-0.46	-0.50	-0.12	-0.54	0.01	-0.33	-0.43	-0.12	-0.24	-0.07	0.35	-0.66
41	-0.43	-0.50	-0.12	-0.55	-0.03	-0.31	-0.41	-0.10	-0.25	-0.10	0.32	-0.66
42	-0.40	-0.50	-0.12	-0.54	-0.08	-0.28	-0.38	-0.07	-0.26	-0.13	0.29	-0.66
43	-0.36	-0.50	-0.11	-0.53	-0.11	-0.24	-0.34	-0.03	-0.26	-0.15	0.28	-0.66
44	-0.31	-0.48	-0.09	-0.49	-0.14	-0.19	-0.29	0.01	-0.25	-0.15	0.29	-0.66
45	-0.25	-0.46	-0.05	-0.44	-0.14	-0.12	-0.23	0.06	-0.23	-0.13	0.32	-0.66
46	-0.19	-0.42	-0.02	-0.37	-0.12	-0.04	-0.17	0.13	-0.19	-0.09	0.38	-0.66
47	-0.11	-0.37	0.03	-0.28	-0.08	0.05	-0.09	0.21	-0.13	-0.03	0.46	-0.66
48	-0.01	-0.30	0.08	-0.19	-0.01	0.15	0.01	0.31	-0.05	0.06	0.57	-0.66
49	0.10	-0.23	0.14	-0.09	0.08	0.27	0.11	0.40	0.05	0.18	0.70	-0.66
50	0.23	-0.14	0.22	0.02	0.19	0.39	0.22	0.50	0.17	0.32	0.83	-0.66
51	0.36	-0.06	0.30	0.12	0.33	0.54	0.34	0.61	0.29	0.47	0.97	-0.66
52	0.50	0.03	0.38	0.23	0.51	0.72	0.48	0.73	0.43	0.65	1.12	-0.66
53	0.65	0.12	0.48	0.37	0.75	0.98	0.66	0.91	0.60	0.87	1.28	-0.66
54	0.82	0.24	0.61	0.58	1.07	1.35	0.92	1.18	0.83	1.15	1.48	-0.66
55	1.03	0.42	0.83	0.90	1.52	1.86	1.29	1.60	1.18	1.54	1.77	-0.66
56	1.34	0.70	1.18	1.38	2.10	2.50	1.82	2.18	1.68	2.05	2.17	-0.66
57	1.78	1.15	1.70	2.02	2.81	3.20	2.48	2.88	2.34	2.70	2.71	-0.66
58	2.35	1.76	2.38	2.76	3.59	3.78	3.22	3.58	3.11	3.42	3.34	-0.66
59	3.03	2.52	3.15	3.47	4.30	4.06	3.88	4.09	3.84	4.06	3.97	-0.66
60	3.71	3.30	3.84	3.96	4.75	3.80	4.24	4.18	4.30	4.42	4.43	-0.66
61	4.18	3.91	4.22	4.04	4.75	2.91	4.10	3.66	4.25	4.29	4.53	-0.66
62	4.23	4.11	4.09	3.58	4.17	1.44	3.33	2.49	3.52	3.52	4.11	-0.66
63	3.67	3.69	3.32	2.58	3.05	-0.37	1.96	0.82	2.10	2.15	3.14	-0.66
64	2.49	2.63	1.99	1.22	1.61	-2.20	0.22	-1.09	0.21	0.37	1.74	-0.66
65	0.84	1.06	0.32	-0.24	0.05	-3.74	-1.59	-2.90	-1.82	-1.48	0.20	-0.66
66	-0.95	-0.71	-1.37	-1.53	-1.44	-4.84	-3.17	-4.36	-3.65	-3.07	-1.21	-0.66
67	-2.57	-2.33	-2.79	-2.47	-2.58	-5.46	-4.32	-5.35	-5.04	-4.22	-2.28	-0.66
68	-3.80	-3.54	-3.77	-2.99	-3.31	-5.70	-5.01	-5.88	-5.92	-4.85	-2.95	-0.66
69	-4.55	-4.24	-4.31	-3.17	-3.68	-5.71	-5.31	-6.06	-6.34	-5.08	-3.28	-0.66
70	-4.89	-4.45	-4.51	-3.13	-3.79	-5.63	-5.35	-6.03	-6.44	-5.07	-3.41	-0.66
71	-4.96	-4.32	-4.51	-3.01	-3.74	-5.55	-5.29	-5.92	-6.35	-4.97	-3.47	-0.66
72	-4.91	-4.00	-4.46	-2.90	-3.61	-5.48	-5.20	-5.76	-6.18	-4.88	-3.54	-0.66
73	-4.82	-3.64	-4.41	-2.83	-3.49	-5.41	-5.15	-5.58	-5.97	-4.82	-3.64	-0.66
74	-4.75	-3.29	-4.36	-2.78	-3.34	-5.29	-5.12	-5.36	-5.73	-4.74	-3.71	-0.66
75	-4.68	-2.96	-4.28	-2.70	-3.13	-5.08	-5.11	-5.07	-5.44	-4.57	-3.71	-0.66
76	-4.61	-2.61	-4.10	-2.54	-2.80	-4.74	-5.06	-4.68	-5.06	-4.27	-3.56	-0.66
77	-4.48	-2.23	-3.76	-2.26	-2.33	-4.25	-4.94	-4.15	-4.56	-3.77	-3.21	-0.66
78	-4.28	-1.79	-3.24	-1.84	-1.72	-3.59	-4.69	-3.47	-3.91	-3.06	-2.65	-0.66
79	-3.95	-1.28	-2.53	-1.31	-0.98	-2.74	-4.27	-2.61	-3.06	-2.13	-1.88	-0.66
80	-3.45	-0.71	-1.66	-0.67	-0.16	-1.73	-3.66	-1.62	-2.00	-1.04	-0.97	-0.66
81	-2.75	-0.08	-0.70	0.02	0.67	-0.63	-2.85	-0.58	-0.80	0.14	-0.02	-0.66
82	-1.85	0.57	0.29	0.69	1.45	0.44	-1.88	0.37	0.42	1.26	0.85	-0.66
83	-0.83	1.22	1.18	1.28	2.11	1.35	-0.84	1.08	1.48	2.19	1.51	-0.66
84	0.19	1.80	1.89	1.69	2.59	2.00	0.15	1.48	2.24	2.81	1.88	-0.66
85	1.03	2.22	2.31	1.90	2.87	2.32	0.95	1.57	2.60	3.07	1.95	-0.66
86	1.57	2.40	2.42	1.90	2.90	2.31	1.44	1.42	2.56	2.96	1.75	-0.66
87	1.76	2.32	2.22	1.71	2.69	2.01	1.61	1.12	2.18	2.54	1.34	-0.66
88	1.66	2.00	1.78	1.37	2.24	1.49	1.47	0.73	1.54	1.90	0.81	-0.66
89	1.33	1.51	1.16	0.91	1.60	0.84	1.09	0.28	0.78	1.13	0.22	-0.66
90	0.85	0.91	0.49	0.37	0.83	0.16	0.56	-0.16	0.01	0.35	-0.35	-0.66
91	0.30	0.25	-0.15	-0.17	0.04	-0.44	-0.02	-0.54	-0.64	-0.34	-0.84	-0.66
92	-0.22	-0.38	-0.66	-0.64	-0.64	-0.86	-0.55	-0.81	-1.08	-0.85	-1.18	-0.66
93	-0.62	-0.92	-0.99	-0.97	-1.10	-1.05	-0.93	-0.94	-1.26	-1.12	-1.35	-0.66
94	-0.83	-1.26	-1.13	-1.13	-1.32	-1.06	-1.11	-0.95	-1.24	-1.17	-1.37	-0.66
95	-0.85	-1.36	-1.12	-1.15	-1.33	-0.97	-1.12	-0.88	-1.10	-1.09	-1.33	-0.66
96	-0.74	-1.28	-1.04	-1.09	-1.27	-0.88	-1.04	-0.81	-0.97	-0.99	-1.31	-0.66
97	-0.61	-1.11	-0.96	-1.05	-1.22	-0.86	-0.97	-0.79	-0.93	-0.96	-1.34	-0.66
98	-0.53	-0.98	-0.92	-1.06	-1.24	-0.92	-0.96	-0.83	-0.99	-1.02	-1.40	-0.66
99	-0.53	-0.95	-0.93	-1.10	-1.30	-1.01	-1.02	-0.90	-1.07	-1.11	-1.42	-0.66
100	-0.57	-1.00	-0.94	-1.12	-1.32	-1.06	-1.08	-0.96	-1.11	-1.15	-1.36	-0.66
101	-0.58	-1.04	-0.93	-1.08	-1.26	-1.04	-1.08	-0.95	-1.06	-1.09	-1.20	-0.66
